True_Label,Mech_Prob_Normal,Bio_Prob_Normal,Fused_Prob_Normal,Mech_Prob_Scar,Bio_Prob_Scar,Fused_Prob_Scar,Mech_Prob_Inflamed,Bio_Prob_Inflamed,Fused_Prob_Inflamed,Mech_Prob_Tumor,Bio_Prob_Tumor,Fused_Prob_Tumor,Fused_Predicted_Label
0,0.61210424,0.04375618,0.447227,0.01933701,0.50018156,0.053313684,0.32583454,0.109045625,0.26449254,0.042724226,0.3470167,0.23496673,0
0,0.89179885,0.71394026,0.9708988,0.015252352,0.21673314,0.0025438443,0.078628436,0.02818031,0.0061153644,0.014320305,0.041146237,0.020441925,0
0,0.3374531,0.4454437,0.86730593,0.066199616,0.49545345,0.12384262,0.5700995,0.015492779,0.0040736347,0.02624787,0.0436101,0.004777832,0
0,0.7070537,0.6935429,0.97703683,0.003236904,0.27656585,0.0010741246,0.2736176,0.013696887,0.0033958158,0.01609177,0.016194379,0.01849323,0
1,0.0054408736,0.3779311,0.005753643,0.8944502,0.6052001,0.9886139,0.0071770363,0.009690376,0.0030802905,0.09293191,0.007178447,0.0025522106,1
1,0.005139748,0.65234864,0.002829419,0.8852148,0.21706805,0.99032485,0.011212444,0.04784955,0.0015808672,0.09843306,0.082733735,0.005264833,1
1,0.010933342,0.25287154,0.009776352,0.9442824,0.73196495,0.9869305,0.007559302,0.005076833,0.0018976592,0.037224837,0.010086633,0.0013954339,1
1,0.0035977687,0.44428167,0.0011658141,0.86439645,0.40500203,0.9950466,0.003314855,0.041862458,0.0011749178,0.12869091,0.10885388,0.0026126255,1
1,0.007720335,0.027411718,0.0043000826,0.5819468,0.92249995,0.9873521,0.016715026,0.013324546,0.001371249,0.39361784,0.036763735,0.006976555,1
1,0.010689872,0.17144164,0.004239523,0.8042628,0.65290624,0.9801194,0.007622632,0.015919302,0.00312333,0.17742465,0.15973285,0.0125177475,1
1,0.0032053734,0.07205624,0.005366637,0.94815004,0.606102,0.95981485,0.004986578,0.06840495,0.011286939,0.04365798,0.2534368,0.023531657,1
1,0.2533365,0.44956356,0.33219427,0.17621206,0.28228647,0.514301,0.5181262,0.06894766,0.095333934,0.052325316,0.19920237,0.058170833,1
1,0.36167067,0.6377693,0.45548925,0.04385433,0.1449032,0.5091269,0.52275586,0.014355386,0.009317124,0.071719155,0.20297214,0.026066732,1
1,0.075909905,0.18774365,0.08040902,0.30296868,0.5509152,0.86101085,0.25078735,0.021904353,0.017556649,0.3703341,0.23943679,0.04102354,1
1,0.08993436,0.43822798,0.06163467,0.37451524,0.497725,0.90989274,0.15989828,0.02504611,0.017359665,0.3756521,0.03900092,0.011112912,1
1,0.02527377,0.5119311,0.01502425,0.48057824,0.45391744,0.95946157,0.02181879,0.0064741806,0.00392529,0.4723292,0.027677203,0.021588923,1
1,0.023545379,0.2601992,0.03855614,0.879302,0.70100105,0.93551236,0.014108868,0.01343399,0.009860335,0.08304366,0.025365692,0.01607126,1
1,0.022442129,0.70408785,0.017818186,0.37162825,0.19562177,0.9156927,0.011396971,0.04858202,0.008533062,0.5945326,0.05170836,0.05795601,1
1,0.015190646,0.33981928,0.013735572,0.5539076,0.51954585,0.9411211,0.0083985245,0.018550804,0.0059637097,0.4225033,0.122084044,0.039179653,1
2,0.09997535,0.015275376,0.0093813045,0.013090615,0.021642845,0.024286397,0.10335849,0.38472873,0.37351483,0.78357553,0.57835305,0.5928175,3
2,0.12291809,0.0077651753,0.013333708,0.08799442,0.032352917,0.014673469,0.6562269,0.3142317,0.7960022,0.13286065,0.64565027,0.17599063,2
2,0.43828335,0.012316887,0.0038037947,0.009663652,0.027553415,0.0016786767,0.540547,0.4427333,0.9927381,0.0115060005,0.51739645,0.0017793633,2
2,0.47473377,0.009407512,0.056390934,0.02327101,0.07822713,0.023393448,0.4663949,0.5733476,0.8823767,0.035600364,0.33901772,0.037838977,2
2,0.43205398,0.009304791,0.01720655,0.063249186,0.011754001,0.02773646,0.31484753,0.24840827,0.68453526,0.18984935,0.730533,0.27052173,2
2,0.22378989,0.03577216,0.056245577,0.09519061,0.008156312,0.021338936,0.41568798,0.3197536,0.43827072,0.26533154,0.6363179,0.48414478,3
2,0.90256083,0.0058939746,0.022875529,0.0033224672,0.017549582,0.0029753423,0.084753156,0.2618954,0.9483077,0.009363631,0.7146611,0.025841426,2
2,0.17234156,0.017182987,0.1095068,0.02750061,0.25377217,0.04688881,0.7659077,0.48834214,0.71508217,0.03425009,0.24070272,0.12852216,2
2,0.30658767,0.006416726,0.01210124,0.016219856,0.052397806,0.0023640178,0.665379,0.4987406,0.9788645,0.011813465,0.4424449,0.006670275,2
2,0.8373071,0.027085904,0.026695212,0.0028547763,0.07485021,0.0016105638,0.15587376,0.28760183,0.96842843,0.003964301,0.61046207,0.003265778,2
2,0.16263998,0.011843754,0.016385818,0.03402318,0.009803673,0.0073338626,0.76955926,0.49344653,0.956488,0.033777516,0.48490602,0.019792248,2
2,0.33417746,0.15153293,0.1060527,0.038734272,0.1174235,0.03316201,0.6187385,0.3075081,0.85543346,0.008349916,0.42353544,0.005351874,2
2,0.08416115,0.00387564,0.0051711774,0.05537492,0.0051244358,0.009585728,0.24035542,0.45656243,0.27682388,0.62010854,0.5344375,0.7084192,3
2,0.051716637,0.0059605977,0.011788668,0.027278787,0.0053133653,0.00436283,0.3238046,0.21917887,0.965992,0.59720004,0.76954716,0.017856589,2
3,0.07386539,0.010176005,0.01777877,0.6668857,0.008001966,0.011476561,0.013221398,0.624756,0.02455922,0.24602756,0.35706604,0.94618547,3
3,0.4759315,0.2316483,0.27988702,0.04405888,0.5921989,0.24768277,0.15866725,0.09916893,0.3403471,0.32134235,0.076983854,0.13208309,2
3,0.103595234,0.026332626,0.020697987,0.04953251,0.12485802,0.022327805,0.3722067,0.38226384,0.05710885,0.47466555,0.46654552,0.8998653,3
3,0.094413094,0.034320682,0.010837982,0.039606698,0.1911916,0.025240764,0.21372592,0.5120045,0.07312907,0.6522543,0.26248318,0.89079225,3
3,0.02011188,0.008353827,0.012605647,0.32224837,0.013617496,0.026988128,0.04830138,0.04960336,0.042423576,0.6093384,0.9284253,0.9179827,3
3,0.022224292,0.0059605977,0.0041580726,0.52079314,0.0053133653,0.0046600318,0.018358286,0.21917887,0.013716184,0.4386243,0.76954716,0.9774656,3
3,0.021021333,0.007858953,0.0058965897,0.25411826,0.0099862255,0.004456413,0.029204344,0.18459281,0.0077970163,0.69565606,0.797562,0.98185,3
3,0.011961923,0.0059605977,0.007413076,0.3987752,0.0053133653,0.0103843305,0.02524368,0.21917887,0.050382186,0.5640192,0.76954716,0.9318204,3
3,0.023175346,0.010535049,0.01873663,0.15146275,0.006451194,0.013621049,0.10403688,0.21048376,0.15809429,0.72132504,0.77253,0.809548,3
3,0.026565064,0.005122056,0.016419075,0.5213234,0.013528163,0.009447697,0.015866864,0.11304095,0.045682847,0.43624467,0.86830884,0.9284504,3
3,0.020011695,0.007858953,0.008174522,0.0827636,0.0099862255,0.0039544785,0.02853949,0.18459281,0.014074212,0.86868525,0.797562,0.97379684,3
3,0.011414882,0.010535049,0.0038270082,0.19965498,0.006451194,0.0023800689,0.015798682,0.21048376,0.01053766,0.7731315,0.77253,0.98325527,3
3,0.016728317,0.0059605977,0.0033359576,0.19102934,0.0053133653,0.010264289,0.013717202,0.21917887,0.014323438,0.77852505,0.76954716,0.9720763,3
3,0.02227237,0.001097223,0.0063894363,0.20058513,0.0070725977,0.014698604,0.009132544,0.001825554,0.006811563,0.76800996,0.99000466,0.9721004,3
3,0.020274945,0.010858251,0.003466192,0.14206128,0.007913271,0.007193585,0.017327245,0.24853548,0.0053215316,0.8203365,0.732693,0.9840186,3
3,0.015496897,0.008803694,0.007086306,0.043258928,0.0037780777,0.0097998,0.014575973,0.32356054,0.014865743,0.92666817,0.66385776,0.9682482,3
3,0.0028241428,0.0063470835,0.013484456,0.012759879,0.026562443,0.035221778,0.018088182,0.0074994713,0.5059914,0.9663278,0.95959103,0.4453024,2
3,0.029635593,0.033396445,0.008108433,0.080149755,0.31671166,0.5491318,0.012004423,0.20721073,0.02613528,0.87821025,0.44268113,0.41662446,1
3,0.04012017,0.09911959,0.04767544,0.35383323,0.5633376,0.27727765,0.013404416,0.1317847,0.041814122,0.5926422,0.20575805,0.6332328,3
3,0.017963413,0.018110335,0.008446777,0.25611103,0.08428353,0.004248145,0.00362064,0.32058188,0.001377321,0.72230494,0.5770243,0.98592776,3
3,0.102199174,0.089344524,0.03311544,0.07954486,0.043613963,0.07001146,0.26672286,0.39901662,0.18722497,0.5515331,0.46802488,0.7096481,3
3,0.086099625,0.10709451,0.07161445,0.028917063,0.36480194,0.047004767,0.16372818,0.3516311,0.032046445,0.7212552,0.17647241,0.84933436,3
3,0.0210375,0.21281552,0.07733816,0.0322253,0.5723246,0.022116426,0.090526275,0.037747603,0.021522801,0.8562109,0.17711231,0.8790226,3
3,0.013645766,0.042585008,0.16977005,0.04139619,0.48138165,0.013196209,0.05949516,0.2384775,0.06843337,0.8854629,0.23755586,0.74860036,3
3,0.006503063,0.0056736865,0.0070685036,0.23658994,0.0062564863,0.02380926,0.006883225,0.48576346,0.024396079,0.7500237,0.50230634,0.94472617,3
3,0.014879626,0.15887052,0.205407,0.059806615,0.44839635,0.2359261,0.060722314,0.13407989,0.02822037,0.8645914,0.25865325,0.5304465,3
3,0.0059028426,0.010321859,0.006381073,0.07031828,0.002779966,0.005053791,0.006777485,0.08523765,0.0087721795,0.91700137,0.90166056,0.97979295,3
3,0.027791178,0.48589605,0.022766696,0.5172406,0.31280702,0.8694606,0.022039844,0.09379713,0.007863587,0.4329284,0.1074998,0.09990914,1
3,0.009354054,0.004028489,0.0050188727,0.71954393,0.014326843,0.0065772133,0.010283294,0.11563221,0.006292677,0.26081872,0.86601245,0.9821113,3
3,0.012973847,0.007924469,0.011440833,0.046218146,0.017120663,0.018056504,0.018415293,0.09199965,0.020250168,0.92239267,0.8829552,0.95025253,3
3,0.011410241,0.0098484075,0.0036183218,0.09088754,0.037043806,0.004390488,0.006178272,0.113514796,0.005522447,0.89152396,0.83959305,0.9864688,3
3,0.0022797522,0.008231441,0.0020135466,0.010826474,0.034623697,0.003474228,0.0064885616,0.1678504,0.0020598345,0.98040515,0.7892944,0.9924523,3
3,0.010923067,0.007596726,0.0030913793,0.19824877,0.01324754,0.006849987,0.014663806,0.20259681,0.00498197,0.77616435,0.77655894,0.9850766,3
0,0.8884743,0.20095804,0.48244017,0.011168684,0.3762377,0.012154445,0.0923779,0.17601559,0.4724249,0.007979182,0.24678865,0.032980464,0
0,0.5150545,0.84617585,0.98712873,0.024322473,0.15103626,0.0055486327,0.33113354,0.00030219663,0.00046329497,0.12948957,0.0024856953,0.0068593263,0
0,0.53178483,0.251753,0.9811621,0.052999962,0.7325841,0.015610275,0.26432002,0.0007425058,0.00024909695,0.15089521,0.014920431,0.0029785193,0
0,0.44686398,0.36531043,0.9295319,0.010092411,0.6218088,0.014073437,0.5026148,0.00052861474,0.025119245,0.04042884,0.0123522,0.03127546,0
0,0.83920735,0.34299856,0.9912775,0.011350883,0.64399,0.0029593918,0.13054651,0.0043525747,0.0006948108,0.018895263,0.008658946,0.005068242,0
0,0.81235063,0.43337354,0.93462515,0.0047116894,0.42774296,0.0066816024,0.17697884,0.069922194,0.037051234,0.005958876,0.06896129,0.021642031,0
0,0.05123564,0.014850475,0.05221092,0.0056736404,0.010593139,0.016965391,0.941888,0.26118112,0.8938969,0.0012027249,0.7133753,0.036926825,2
0,0.31082517,0.40308586,0.9054818,0.004619104,0.56186396,0.009722849,0.6446456,0.003954586,0.007365273,0.039910115,0.031095644,0.077430084,0
0,0.8523833,0.68515766,0.9800739,0.009248096,0.27041048,0.0016316951,0.1184022,0.005984459,0.001705531,0.019966418,0.03844747,0.01658887,0
