t-SNE_1,t-SNE_2,True_Class
16.511837,-8.8161,Tumor
16.06092,-6.4963927,Tumor
22.842068,4.8969398,Tumor
11.602697,8.571477,Tumor
17.754313,-7.270424,Tumor
17.635654,-6.6713185,Tumor
16.69932,-8.624783,Tumor
7.0369177,-8.855663,Tumor
7.627785,-6.515716,Tumor
5.7784114,-1.4550978,Tumor
9.230974,9.026744,Tumor
21.743658,-2.2640736,Tumor
18.536333,-1.418177,Tumor
23.264343,3.0120494,Tumor
7.0571747,-11.526904,Tumor
15.3179655,-4.682693,Tumor
9.087807,-3.7143085,Tumor
16.568731,-5.0406027,Tumor
-1.0462009,-2.2126276,Tumor
21.616922,-5.5216904,Tumor
17.737722,0.78420985,Tumor
9.627602,-2.9536324,Tumor
15.38122,2.548342,Tumor
17.758713,-2.62435,Tumor
16.767075,-4.132827,Tumor
16.945919,-3.4085858,Tumor
10.536855,-0.57157344,Tumor
16.890938,-1.978384,Tumor
17.353083,2.2815454,Tumor
16.194544,-4.2759323,Tumor
15.183867,3.577109,Tumor
18.790651,0.18591599,Tumor
17.875216,-3.8493347,Tumor
11.953304,2.3303013,Tumor
17.879528,-4.6439824,Tumor
12.721835,0.38793847,Tumor
16.243927,1.0979376,Tumor
15.659751,2.1680403,Tumor
14.65688,2.9229963,Tumor
16.873566,-0.6522132,Tumor
12.09053,7.4951115,Tumor
17.265778,-1.6225381,Tumor
