t-SNE_1,t-SNE_2,True_Class
15.114673,-0.99922955,Tumor
16.027468,-0.19090505,Tumor
10.221052,3.768493,Tumor
8.993203,4.600376,Tumor
17.255434,0.07846454,Tumor
15.805308,-0.1886417,Tumor
11.010615,-4.2181635,Tumor
13.628568,-4.6080627,Tumor
17.0064,-0.19757408,Tumor
16.53375,-0.68822587,Tumor
16.836298,-0.3855636,Tumor
18.336693,-0.7053508,Tumor
18.445705,-3.7640305,Tumor
18.395288,-2.5871015,Tumor
17.711233,0.6623415,Tumor
17.129742,-3.775271,Tumor
17.757479,0.9607474,Tumor
17.139515,-4.5848656,Tumor
18.814348,0.21891539,Tumor
16.936567,0.04486427,Tumor
17.149689,-3.2099109,Tumor
16.27104,0.32055867,Tumor
17.051645,-4.256217,Tumor
14.593709,-1.9785738,Tumor
16.362202,-4.936409,Tumor
12.601766,-5.1529746,Tumor
13.649445,-6.3064,Tumor
14.394425,-0.18863213,Tumor
15.442603,-4.5297427,Tumor
11.73039,-5.452455,Tumor
13.832104,-3.5287435,Tumor
17.08672,-2.6433685,Tumor
17.691565,-0.26933002,Tumor
14.3526945,-6.923005,Tumor
11.978707,-8.469762,Tumor
14.491239,-4.4350405,Tumor
15.125093,-5.998926,Tumor
15.369124,-5.1524863,Tumor
14.4117,-4.674586,Tumor
14.962513,-3.4653144,Tumor
15.580595,-5.5316095,Tumor
14.63721,-5.7893,Tumor
15.947468,-6.4641604,Tumor
14.873028,-4.063935,Tumor
12.35077,-8.259695,Tumor
9.476113,-3.5937822,Tumor
11.73342,-8.323277,Tumor
12.009445,-8.4662895,Tumor
15.525852,-6.2671156,Tumor
7.4792805,5.3211436,Tumor
12.23806,-6.5185757,Tumor
11.658983,-6.8586164,Tumor
5.889561,8.868745,Tumor
13.176915,3.6102502,Tumor
4.3913083,6.102702,Tumor
6.452,2.3577294,Tumor
16.35617,1.5740979,Tumor
10.018683,4.6664677,Tumor
6.921708,2.511847,Tumor
12.158079,2.230058,Tumor
6.1976523,5.941328,Tumor
16.653988,-7.364769,Tumor
4.8338017,1.3300052,Tumor
10.699991,3.4894667,Tumor
5.037188,5.9637628,Tumor
7.5397005,-0.84465843,Tumor
8.105187,5.0217934,Tumor
14.485637,-7.6458488,Tumor
3.8647542,5.694866,Tumor
4.9411316,1.4861156,Tumor
9.013857,7.398211,Tumor
22.544376,-2.6772294,Tumor
22.914497,-3.0450807,Tumor
22.990576,-1.5375053,Tumor
23.106445,-1.117634,Tumor
24.29871,-4.6468916,Tumor
24.016693,-4.462987,Tumor
23.286398,-2.0491219,Tumor
21.974913,-2.3028686,Tumor
22.482334,-4.1382065,Tumor
22.487278,-2.708124,Tumor
22.45647,-3.2655387,Tumor
24.389809,-4.2450914,Tumor
23.358566,-1.3308527,Tumor
23.470774,-1.9071195,Tumor
13.990198,-0.34703583,Tumor
23.71702,-4.1474385,Tumor
24.545176,-4.28123,Tumor
23.672012,-3.2300267,Tumor
4.8799863,6.563935,Tumor
15.235643,-2.1211848,Tumor
10.62761,-5.8446774,Tumor
12.758463,0.93735766,Tumor
12.929597,2.7356067,Tumor
10.430736,-0.34356493,Tumor
11.188408,1.9367027,Tumor
9.441491,-0.65409064,Tumor
8.125039,-1.4842733,Tumor
8.487742,0.88296133,Tumor
12.630398,2.7319314,Tumor
8.157292,0.6182865,Tumor
10.707277,2.5809133,Tumor
10.675273,-5.653151,Tumor
13.536054,0.59207064,Tumor
13.748068,-0.6012684,Tumor
12.549951,-0.29160416,Tumor
11.856592,0.33567756,Tumor
10.603898,1.0151067,Tumor
11.408935,-0.06580327,Tumor
10.224094,-0.15987462,Tumor
13.873098,-2.5372827,Tumor
10.622104,-8.532586,Tumor
9.418297,-5.163805,Tumor
12.052105,-4.146967,Tumor
11.776566,0.6336694,Tumor
11.129704,-1.8944975,Tumor
13.351254,-3.7166495,Tumor
11.284184,-3.8077517,Tumor
10.846332,-1.9106191,Tumor
12.089914,-2.7267609,Tumor
12.914025,-3.1182208,Tumor
12.338045,-3.5577343,Tumor
13.8183975,-2.810745,Tumor
12.993003,-1.8779489,Tumor
10.63222,-3.4154584,Tumor
10.92672,-2.9360557,Tumor
10.392641,-2.7178516,Tumor
12.512331,-1.2782717,Tumor
13.288074,-3.9572015,Tumor
10.559656,-3.1822157,Tumor
11.5823,-3.1878176,Tumor
11.901403,-3.5155704,Tumor
13.01069,-1.9240419,Tumor
12.9690075,-5.0714135,Tumor
12.561943,-3.8048701,Tumor
